date,subtotal
2025-01-01,5355.220551
2025-01-02,4996.499723
2025-01-03,5027.912455
2025-01-04,4428.823186
2025-01-05,4920.716967
2025-01-06,4987.645693
2025-01-07,5302.210037
2025-01-08,5140.259957
2025-01-09,5403.395936
2025-01-10,4885.68995
2025-01-11,4796.90879
2025-01-12,4552.767514
2025-01-13,5524.627879
2025-01-14,5099.227567
2025-01-15,5483.018611
2025-01-16,5150.677449
2025-01-17,5143.906815
2025-01-18,4480.860517
2025-01-19,4878.248115
2025-01-20,4936.025308
2025-01-21,5362.463687
2025-01-22,5068.262136
2025-01-23,5785.293551
2025-01-24,5380.682071
2025-01-25,5267.943242
2025-01-26,4496.723316
2025-01-27,5288.002759
2025-01-28,5118.182147
2025-01-29,5416.212609
2025-01-30,5195.004955
2025-01-31,5087.118845
2025-02-01,5246.431965
2025-02-02,5094.110678
2025-02-03,5847.232811
2025-02-04,5469.982097
2025-02-05,5873.630746
2025-02-06,5510.978714
2025-02-07,5128.482655
2025-02-08,4824.97027
2025-02-09,4616.217587
2025-02-10,5652.594559
2025-02-11,5885.395919
2025-02-12,5472.781812
2025-02-13,5877.304105
2025-02-14,5629.919458
2025-02-15,5019.777724
2025-02-16,4736.948308
2025-02-17,5647.779643
2025-02-18,5525.951315
2025-02-19,5547.792011
2025-02-20,5351.066901
2025-02-21,5242.457229
2025-02-22,4619.008503
2025-02-23,4758.196489
2025-02-24,5321.371126
2025-02-25,5557.492339
2025-02-26,5329.587191
2025-02-27,5514.492727
2025-02-28,5123.074888
2025-03-01,5422.052263
2025-03-02,5117.664884
2025-03-03,6693.525565
2025-03-04,6134.065385
2025-03-05,6599.390266
2025-03-06,5959.026329
2025-03-07,6088.48837
2025-03-08,5221.814458
2025-03-09,4958.171497
2025-03-10,6032.863418
2025-03-11,6086.75848
2025-03-12,5933.822973
2025-03-13,6091.061673
2025-03-14,5706.000886
2025-03-15,5025.540087
2025-03-16,4621.659781
2025-03-17,5871.471545
2025-03-18,5550.068862
2025-03-19,6294.886862
2025-03-20,5712.225398
2025-03-21,5317.236081
2025-03-22,4479.122674
2025-03-23,4920.982315
2025-03-24,5277.016053
2025-03-25,6083.80275
2025-03-26,5314.649203
2025-03-27,5320.805912
2025-03-28,4697.321881
2025-03-29,4674.894579
2025-03-30,4437.816057
2025-03-31,5250.65152
2025-04-01,6414.86288
2025-04-02,6115.843639
2025-04-03,5641.712739
2025-04-04,5112.331042
2025-04-05,5086.977312
2025-04-06,4900.550871
2025-04-07,5877.429073
2025-04-08,5638.330434
2025-04-09,5831.8203
2025-04-10,5647.245456
2025-04-11,5554.122283
2025-04-12,4704.011002
2025-04-13,5053.751438
2025-04-14,5700.406788
2025-04-15,5624.669215
2025-04-16,5264.718228
2025-04-17,5503.356705
2025-04-18,5011.837833
2025-04-19,4746.111117
2025-04-20,4772.510385
2025-04-21,5261.25564
2025-04-22,5001.501629
2025-04-23,5421.56463
2025-04-24,4980.752884
2025-04-25,4997.70421
2025-04-26,4612.910042
2025-04-27,4864.817009
2025-04-28,5183.479704
2025-04-29,5323.440379
2025-04-30,4976.201988
2025-05-01,5520.01566
2025-05-02,5171.342989
2025-05-03,4815.423527
2025-05-04,4368.105521
2025-05-05,5236.557918
2025-05-06,5095.880388
2025-05-07,5478.213773
2025-05-08,5274.605123
2025-05-09,5358.864777
2025-05-10,4475.877368
2025-05-11,4752.573815
2025-05-12,4950.8063
2025-05-13,5306.742936
2025-05-14,5175.088234
2025-05-15,5579.821084
2025-05-16,4804.711857
2025-05-17,4667.756738
2025-05-18,4561.121212
2025-05-19,5290.031607
2025-05-20,5146.202811
2025-05-21,5148.890495
2025-05-22,4886.607214
2025-05-23,5075.055332
2025-05-24,4655.259112
2025-05-25,4705.734943
2025-05-26,4869.945068
2025-05-27,5274.968256
2025-05-28,5151.31569
2025-05-29,5191.368108
2025-05-30,4906.611277
2025-05-31,4726.528235
2025-06-01,5404.864937
2025-06-02,5357.091307
2025-06-03,5517.09737
2025-06-04,5265.888555
2025-06-05,5577.83596
2025-06-06,5021.229489
2025-06-07,4864.235891
2025-06-08,4622.027284
2025-06-09,5532.308772
2025-06-10,5576.136047
2025-06-11,5862.68244
2025-06-12,5687.861751
2025-06-13,5818.252122
2025-06-14,5070.118289
2025-06-15,5377.044237
2025-06-16,5757.1005
2025-06-17,5854.204328
2025-06-18,5549.180296
2025-06-19,5338.772048
2025-06-20,5119.260654
2025-06-21,4799.885812
2025-06-22,4720.239824
2025-06-23,5597.228384
2025-06-24,5443.638223
2025-06-25,5753.786101
2025-06-26,5448.332555
2025-06-27,5425.983083
2025-06-28,4745.350959
2025-06-29,4964.150521
2025-06-30,5416.927223
2025-07-01,6133.07015
2025-07-02,5904.524962
2025-07-03,5723.538803
